Iryna_Buhrii 20-30 female
1				1				number 0
10				10 				number  0
10				10 				number  0
100				100 			number  0
12				12 				number  0
150				150 			number  0
27				27 				number  0
30				30 				number  0
5				5 				number  0
50				50 				number  0
50				50 				number 0
Їжа				їжа 			noun:f:v_naz  34
А				а 				conj:coord  0
А				а 				conj:coord  0
А				а 				conj:coord  0
Адміністратор	адміністратор	noun:m:v_naz:anim  0
Але				але 			conj:coord  0
Братів		 	брат 			adj:m:v_naz  40
Була			бути 			adjp:actv:past:f:v_naz  0
Було			бути 			verb:past:n:imperf  0
ВЕЛИКІ			великий 		adj:p:v_naz:compb  0
Внесли			внести 			verb:past:p:perf:v-u  0
Все				все 			adj:n:v_naz:&pron:dem 0
Від				від 			prep:rv_rod  0
Ганьба			ганьба 			noun:f:v_naz  -40
Гарний			гарний 			adj:m:v_naz:compb  40
Для				для 			prep:rv_rod  0
Добре			добрий 			adv  50
Доброго			добрий 			adj:m:v_rod:compb  50
Дуже			дуже 			adv  0
Дуже			дуже 			adv  0
Дуже			дуже 	 		adv  0
Дякую			дякувати 		verb:pres:s:1:imperf  40
З				з 				prep:rv_rod:rv_zna:rv_oru 0
З				з 				prep:rv_rod:rv_zna:rv_oru 0
За				за 				prep:rv_rod:rv_zna:rv_oru 0
Завжди			завжди 			adv:&pron:gen  0
Зайдіть			зайти 			verb:impr:p:2:perf  0
Кентавр			кентавр 		noun:m:v_naz:anim  10
Кожен			кожний 			adj:m:v_naz:contr  0
Крутий			крутий 			adj:m:v_naz:compb  30
Кухар			кухар 			noun:m:v_naz:anim  10
Львові			Львів 			noun:m:v_mis  50
Львові			Львів 			noun:m:v_mis  50
Львові			Львів 			noun:m:v_mis  50
Любителям		любитель 		noun:p:v_dav:anim  50
Молодці			молодець 		noun:p:v_kly:anim  50
Музика			музика 			noun:f:v_naz  50
На				на 				prep:rv_zna:rv_mis  0
Навряд			навряд 			adv  0
Надзвичайно		надзвичайно		adv  0
Надзвичайно		надзвичайно 	adv  0
Надя							noun:f:v_naz:anim:fname  0
Надія			надія 			noun:f:v_naz  30
Нам				ми 				pron:pers:p:1:v_dav:anim 0
Незважаючи		незважаючи 		prep  0
Ну				ну 				part  0
Ніколи		 	ніколи 			adv:&pron:neg  0
Обслуговування	обслуговування 	noun:n:v_naz  0
Офіціанти		офіціант 		noun:p:v_kly:anim  -10
Очікували		очікувати 		verb:past:p:imperf  -20
Павлик			Павлик 			noun:m:v_naz:anim:lname -30
Пані 			 				noun:p:v_naz:nv:anim  0
Проте			проте 			conj:coord  0
Процвітання		процвітання 	noun:n:v_naz  50
Ресторан		ресторан 		noun:m:v_naz  50
Святкували		святкувати 		verb:past:p:imperf  50
Сказати			сказати 		verb:inf:perf  0
Сподобався		сподобатися 	verb:rev:past:m:perf  40
Спробували		спробувати 		verb:past:p:perf  0
Так				так 			adv:&pron:dem  0
Тут				тут 			adv:&pron:dem  0
Тільки			тільки 			adv  0
Тільки			тільки 			conj:subord  0
У				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
Улюблене		улюблений 		adjp:pasv:past:n:v_naz:compb 40
Хороша			хороший 		adj:f:v_naz:compb  40
Хороший			хороший 		adj:m:v_naz:compb  40
Цілодобовий		цілодобовий 	adj:m:v_naz  20
Чудова			чудовий 		adj:f:v_naz:compb  40
Чудово			чудово 			adv:compb  40
Я				я				pron:pers:s:1:v_naz:anim  0
Я				я 				pron:pers:s:1:v_naz:anim 0
Якось			якось 			adv:&pron:ind  0
а				а 				conj:coord  0
а				а 				conj:coord  0
а				а 				conj:coord  0
адміністратор	адміністратор 	noun:m:v_naz:anim  0
адміністратора	адміністратор 	noun:m:v_rod:anim  0
адміністраторка	адміністраторка noun:f:v_naz:anim  0
актуально		актуально 		adv  0
але				але 			conj:coord  0
атмосфера		атмосфера 		noun:f:v_naz  0
атмосфера		атмосфера 		noun:f:v_naz  0
атмосферний		атмосферний 	adj:m:v_naz  20
атмосферно-музичне	атмосферно-музичний adj:n:v_naz  20
атмосферною		атмосферний		adj:f:v_oru  20
б				б 				part  20
балів			бал 			noun:p:v_rod  0
без				без 			prep:rv_rod  0
безкоштовне		безкоштовний 	adj:n:v_naz  20
би				би 				part  0
бо				бо 				conj:subord  0
бо				бо 				conj:subord  0
буваю			бувати 			verb:pres:s:1:imperf  0
буває			бувати 			verb:pres:s:3:imperf  0
будь-якої		будь-який 		adj:f:v_rod:&pron:ind  0
була			бути 			verb:past:f:imperf  0
були			бути			verb:past:p:imperf  0
були			бути 			verb:past:p:imperf  0
були			бути 			verb:past:p:imperf  0
було			бути 			verb:past:n:imperf  0
було			бути 			verb:past:n:imperf  0
було			бути 			verb:past:n:imperf  0
було			бути 			verb:past:n:imperf  0
було			бути 			verb:past:n:imperf  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
вам				ви 				pron:pers:p:2:v_dav:anim 0
вареники		вареник 		noun:p:v_naz  0
вас				ви 				pron:pers:p:2:v_mis:anim 0
вважають		вважати 		verb:pres:p:3:imperf  0
ввечері			ввечері 		adv:v-u  10
велика			великий 		adj:f:v_naz:compb  10
велика			великий 		adj:f:v_naz:compb  10
великою			великий 		adj:f:v_oru:compb  10
весілля			весілля 		noun:n:v_naz  10
вечір			вечір 			noun:m:v_naz  10
вже				вже 			adv:v-u  0
вже				вже 			adv:v-u  0
взагалі			взагалі 		adv:v-u  0
ви				ви 				pron:pers:p:2:v_kly:anim  0
вибір			вибір 			noun:m:v_naz  0
виступають		виступати 		verb:pres:p:3:imperf  0
вищому			високий 		adj:m:v_dav:compr  10
вперше			вперше 			adv:v-u  0
вперше			вперше 			adv:v-u  0
враження		враження 		noun:n:v_naz  0
все				все 	 		adv:v-u  0
все				все  			adv:v-u  0
всі				весь 			adj:p:v_naz:&pron:dem  0
всі				весь 			adj:p:v_naz:&pron:dem 0
від				від 			prep:rv_rod  0
від				від 			prep:rv_rod  0
від				від 			prep:rv_rod  0
від				від 			prep:rv_rod  0
відгуками		відгук 			noun:p:v_oru  0
відгуки			відгук 			noun:p:v_naz  0
відмовлено		відмовити 		verb:impers:perf  0
відпочив		відпочити 		verb:past:m:perf  50
відпочиває		відпочивати 	verb:pres:s:3:imperf  50
відрізняє		відрізняти 		verb:pres:s:3:imperf  10
гарна			гарний 			adj:f:v_naz:compb  40
гарний			гарний 			adj:m:v_naz:compb  40
гарно			гарно 			adv:compb  40
говорили		говорити 		verb:past:p:imperf  10
години			година 			noun:f:v_rod  0
години			година 			noun:p:v_zna  0
графік			графік 			noun:m:v_naz  -10
