words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
абат,U,0,0,0,-1
ігумен,U,0,0,0,-1
абатиса,U,0,0,0,-1
ігуменя,U,0,0,0,-1
абатство,U,0,0,0,-1
манастир,U,0,0,0,-1
абетка,0,0,1,0,5
азбука,0,0,3,0,4
альфабет,0,0,1,0,6
алфавит,0,0,1,0,6
букви,0,0,2,0,6
літери,0,0,2,0,6
абеточка,0,0,1,0,6
абетковий,0,0,2,0,2
азбучний,0,0,3,0,2
поазбучний,0,0,1,0,3
альфабетний,0,0,2,0,3
абетний,0,0,2,0,3
елементарний,0,0,2,0,1
початковий,0,0,3,0,1
загальновідомий,0,0,3,2,2
абеткувати,U,0,0,0,-1
реєструвати_за_абеткою,U,0,0,0,-1
абетник,U,0,0,0,-1
альфабетний_покажчик,U,0,0,0,-1
абзац,0,0,1,0,3
відступ,0,0,5,0,4
новий_рядок,0,0,1,0,4
уступ,0,0,2,0,2
аби,0,0,1,0,1
аби_тільки,0,0,1,0,2
аби_но,0,0,1,0,2
тільки_б,0,0,1,0,2
якби_тільки,0,0,1,0,2
щоб_лише,0,0,1,0,2
щоб,0,0,1,0,0
щоби,0,0,1,0,2
для_того,0,0,1,0,2
з_тим,0,0,1,0,2
абись,0,0,1,0,2
абиде,0,0,2,0,2
будь-де,0,0,1,0,3
де-будь,0,0,1,0,3
хоч_де,0,0,1,0,3
хай_де,0,0,1,0,3
де_припало,0,0,1,0,3
денебудь,0,0,3,0,1
десь,0,0,1,0,1
абиколи,0,0,2,0,2
будь-коли,0,0,3,0,2
колибудь,0,0,2,0,3
хоч_коли,0,0,2,0,2
хай_коли,0,0,2,0,2
колись,0,0,4,1,1
колинебудь,0,0,1,0,1
абикуди,0,0,1,0,1
будь-куди,0,0,2,0,2
кудибудь,0,0,2,0,2
хоч_куди,0,0,1,0,2
хай_куди,0,0,2,0,2
куди-небудь,0,0,1,0,2
кудись,0,0,1,0,0
аби_то,0,0,1,0,2
якнебудь,0,0,5,0,2
недбало,0,0,5,0,3
абияк,0,0,3,0,2
так_собі,0,0,1,0,1
абихто,0,0,3,0,2
будь-хто,0,0,2,0,2
хтобудь,0,0,1,0,3
хоч_хто,0,0,2,0,2
хай_хто,0,0,1,0,3
хтонебудь,0,0,3,0,1
хтось,0,0,3,0,1
абичий,U,0,0,0,-1
будь-чий,U,0,0,0,-1
чийбудь,U,0,0,0,-1
хай_чий,U,0,0,0,-1
хоч_чий,U,0,0,0,-1
чийнебудь,U,0,0,0,-1
чийсь,U,0,0,0,-1
абищиця,0,0,2,0,3
дрібниця,0,0,4,0,2
дрібничка,0,0,3,0,3
дурниця,0,0,4,0,2
дурничка,0,0,3,0,3
витребенька,0,0,8,0,4
абищо,0,1,4,0,3
будь-що,0,0,3,0,4
щобудь,0,0,2,0,4
хоч_що,0,0,1,0,4
хай_що,0,0,4,0,3
щонебудь,0,0,3,0,3
щось,0,0,3,0,2
нісенітниця,0,0,1,0,2
ніщо,-,1,0,0,2
нікчема,0,2,5,0,3
не_абищо,0,0,1,0,4
не_хвіст_собачий,0,0,1,0,4
будь-як,0,0,3,0,3
як-будь,0,0,1,0,3
хай_як,0,0,1,0,3
сяк-так,0,0,1,0,1
на_живу_нитку,0,0,1,0,3
абиякий,0,0,3,0,2
будь-який,0,0,3,0,2
якийбудь,0,0,1,0,3
перший-ліпший,0,0,1,0,1
хоч_який,0,0,2,0,2
хай_який,0,0,1,0,3
якийнебудь,0,0,2,0,1
сякий-такий,0,0,1,0,1
неавторитетний,0,0,1,0,3
звичайний,+,0,7,8,2
без_ваги,0,0,1,0,3
нездалий,0,2,3,2,2
поганий,A,1,1,0,1
неякісний,+,0,1,2,2
абітурієнт,0,0,1,0,6
випускник,0,0,1,0,5
матурант,0,0,1,0,7
вступник,0,0,1,0,7
або,0,0,1,0,0
чи,0,0,2,0,0
чи_то,0,0,1,0,1
альбо,0,0,1,0,1
а_то,0,0,1,0,1
тобто,0,0,1,0,1
інакше_кажучи,0,0,2,0,1
хіба,0,0,3,0,1
абориґен,-,2,0,0,3
тубілець,-,1,0,0,4
автохтон,A,1,1,0,4
корінний_житель,-,1,0,0,4
старожил,-,1,0,0,4
місцевий,-,1,0,0,2
тутешній,-,2,0,0,2
аборигенний,-,2,0,1,3
тубільний,-,2,0,1,3
автохтонний,A,2,0,2,3
корінний,+,2,1,4,3
аборт,U,0,0,0,-1
передчасні_пологи,U,0,0,0,-1
викидень,U,0,0,0,-1
абощо,U,0,0,0,-1
чи_що,U,0,0,0,-1
чи_там_що,U,0,0,0,-1
чи_то_ще_що,U,0,0,0,-1
абракадабра,0,0,1,0,2
абсурд,0,0,1,0,1
абрикоса,U,0,0,0,-1
жерделя,U,0,0,0,-1
мореля,U,0,0,0,-1
абрис,0,0,3,0,3
контур,0,0,7,0,3
обрис,0,0,2,0,2
обвід,0,0,3,0,3
окреслення,0,0,2,0,3
конфігурація,0,0,4,0,3
закрій,0,0,1,0,4
лінія,0,0,5,2,2
абсолютизм,0,0,1,0,5
самодержавство,0,0,1,0,6
монархізм,0,0,1,0,6
автократія,0,0,1,0,6
тиранія,0,0,2,0,4
деспотія,0,0,1,0,6
деспотизм,0,0,2,0,5
тоталітаризм,0,0,1,0,6
диктатура,0,0,1,0,6
абсолютний,+,0,0,8,2
цілковитий,+,0,0,3,2
повний,+,0,0,5,2
необмежений,+,0,0,5,2
безумовний,A,0,3,3,3
всеосяжний,+,0,2,5,3
всеохопний,+,0,1,5,3
тотальний,+,0,0,3,3
безвідносний,+,0,0,1,3
абсолютно,0,0,1,0,0
умоглядний,0,0,1,0,1
безглуздя,0,0,1,0,2
нонсенс,0,0,1,0,2
несусвітенність,0,0,1,0,2
безглуздість,0,0,1,0,2
нісенітність,0,0,1,0,2
неподобність,0,0,1,0,2
недоладність,0,0,1,0,2
на_вербі_груші,0,0,1,0,2
сон_рябої_кобили,0,0,1,0,2
таке,0,0,1,0,0
що_й_купи_не_держиться,0,0,1,0,2
бридня,0,0,1,0,2
глупство,0,0,1,0,2
чортзна-що,0,0,1,0,2
чортибатька-що,0,0,2,0,2
маячня,0,0,4,0,2
ідіотизм,0,0,1,0,2
дурість,0,0,4,0,2
парадокс,0,0,1,0,2
анекдота,0,0,1,0,2
анекдотичність,0,0,1,0,2
анекдот,0,0,2,0,2
абсурдний,A,0,1,1,3
безглуздий,0,0,1,0,2
нісенітний,+,0,0,1,4
ні_в_кут_ні_в_двері,U,0,0,0,4
ні_те_ні_се,U,0,0,0,4
дикий,+,0,3,8,2
абсцис,0,0,2,0,6
гнояк,0,0,1,0,5
нарив,0,0,1,0,7
чир,0,0,2,0,6
чиряк,0,0,1,0,5
фурункул,0,0,3,0,6
карбункул,0,0,2,0,6
нагноєння,0,0,1,0,7
запалення,0,0,1,0,7
аванґард,A,0,1,1,4
перший_ешельон,U,0,0,0,5
передова_частина,U,0,0,0,5
передовики,U,0,0,0,5
перші_лави,+,0,0,1,3
еліта,0,0,1,0,3
вершки,0,0,3,0,4
сметанка,0,0,3,0,4
авангардний,0,0,2,0,2
передовий,0,0,3,0,1
з_перших_лав,0,0,1,0,3
елітарний,0,0,1,0,3
аванс,U,0,0,0,-1
завдаток,U,0,0,0,-1
авансом,+,0,0,1,1
