Taradakha 20-30 female
Двічі	двічі  adv  0
були	бути   verb:past:p:perf  0
у	    у      prep:rv_mis:v-u  0
цьому	цей    adj:m:v_mis:&pron:dem  0
закладі	заклад noun:m:v_mis  13
двічі	двічі  adv  0
сподобалось	сподобатися verb:rev:past:n:perf   19
Смачні	смачний adj:p:v_naz:compb  23
канапки	канапка noun:p:v_naz  11
справедливі	справедливий adj:p:v_naz:compb  40
ціни	ціна    noun:p:v_naz  -9
гарне	гарний  adj:n:v_naz:compb  14
обслуговування	обслуговування noun:n:v_naz  3
заклад	заклад  noun:m:v_naz   17
відкривається	відкриватися  verb:rev:pres:s:3:imperf  5
о	     о      prep:rv_mis  0
8	     8      number  0
що	     що     pron:int:rel:n:v_naz  0
для	    для     prep:rv_rod  0
туристів турист noun:p:v_rod:anim   14
з	    з       prep:rv_rod 0
інших	інший   adj:p:v_rod:&pron:def   0
міст	місто	noun:p:v_rod  2
дуже	дуже    adv 4
актуально актуально adv   4
Чудове чудовий  adj:n:v_naz:compb  29
місце	місце   noun:n:v_naz   7
новий	новий   adj:m:v_naz:compb  25
зал	    зал     noun:m:v_naz  4
просто	просто  part 0
Можна	можна   predic  0
вина	вино    noun:n:v_rod   40
з	    з       prep:rv_oru 0
взяти	взяти   verb:inf:perf  8
публіка	публіка noun:f:v_naz   5
вина	вино    noun:n:v_rod  45
поруч	поруч   adv   5
була	бути    verb:past:f:imperf   0
один	один    numr:m:v_zna  0
раз	    раз     noun:m:v_zna  0
але	    але     conj:coord   0
декілька декілька numr:p:v_zna:&pron:ind 0
років	рік     noun:p:v_rod  -5
тому	тому    adv   0
сподобалося	сподобатися verb:rev:past:n:perf  34
смачна	смачний adj:f:v_naz:compb  39
кухня	кухня   noun:f:v_naz  22
привітний привітний adj:m:v_naz:compb  26
персонал персонал   noun:m:v_naz   0
1	    1       number  0
я	    я       pron:pers:s:1:v_naz:anim  7
там	    там     adv:&pron:dem  0
з	    з       prep:rv_oru 0
компанією компанія noun:f:v_oru  38
не	    не      part  -8
через	через   prep:rv_zna  -12
день	день    noun:m:v_zna  7
то	    то      conj:subord  0
або	    або     conj:coord  0
щодня	щодня   adv  5
або	    або     conj:coord  0
раз	    раз     adv  0
на	    на      prep:rv_zna 0
три	    три     numr:p:v_zna 0
дні	    день    noun:p:v_zna  -3
пиво	пиво    noun:n:v_zna  15
сьорбаю	сьорбати verb:pres:s:1:imperf  -6
і	     і      part   0
б	    б       part  0
2	    2       number  0
не	    не      part  0
сподобалось	сподобатися verb:rev:past:n:perf  17
там	    там     adv:&pron:dem   0
ну	    ну     excl   0
то	    то     conj:subord  0
не	    не     part  0
тут	    тут    adv:&pron:dem  0
хто	    хто    pron:int:rel:m:v_naz:anim  0
не	    не     part   0
на	    на     prep:rv_zna 0
електричку	електричка noun:f:v_zna  -20
і	    і      conj:coord   0
в	    в      prep:rv_zna:v-u  0
Ожидів	Ожидів noun:m:v_zna  0
3	    3      number  0
там	    там    adv:&pron:dem   0
затишно	затишно adv:compb  31
в	    в       prep:rv_zna:rv_mis:rv_rod:v-u (prep:rv_dav:v-u) 0
підвальчику	підвальчик noun:m:v_dav  10
нормальні	нормальний adj:p:v_naz   7
ціни	 ціна   noun:p:v_naz  -9
