Доброго	               adj:m:v_rod:compb 
дня	                   noun:m:v_rod 
Андрій                 noun:m:v_kly:anim:fname
Дозвольте	           verb:impr:p:2:perf 
з                      prep:rv_oru
Вами                   pron:v_oru:anim 
посперечатись	       verb:rev:inf:perf 
Перше	               adj:n:v_zna 
про                    prep:rv_zna 
офіціанта	           noun:m:v_zna:anim 
вибачте	               verb:impr:p:2:perf 
але	                   conj:coord 
голова	               noun:f:v_naz 
в	                   prep:rv_rod 
нього	               pron:pers:m:3:v_rod
точно	               adv 
була	               verb:past:f:perf 
помита	               adjp:pasv:past:f:v_naz 
те	                   adj:n:v_zna:&pron:dem 
що	                   pron:int:rel:n:v_naz 
він	                   pron:pers:m:3:v_naz:anim 
був	                   verb:past:m:imperf 
спітнілий	           adjp:actv:past:m:v_naz 
це	                   adj:n:v_zna:&pron:dem 
факт	               noun:m:v_naz 
згідна	               adj:f:v_naz 
цього	               adj:n:v_rod:&pron:dem 
не	                   part 
мало	               verb:past:n:imperf 
б	                   part 
бути	               verb:inf:imperf 
але	                   conj:coord
так	                   conj:coord:subord 
як	                   conj:subord 
він	                   pron:pers:m:3:v_naz:anim 
бігав	               verb:past:m:imperf 
між	                   prep:rv_oru 
трьома	               numr:p:v_oru 
поверхами	           noun:p:v_oru 
це	                   adj:n:v_naz:&pron:dem 
ніби	               conj:subord 
                       part 
природний	           adj:m:v_zna:compb 
фізіологічний	       adj:m:v_zna 
процес	               noun:m:v_zna 
За	                   prep:rv_rod:rv_zna:rv_oru
це	                   adj:n:v_zna:&pron:dem 
вибачаємось	           verb:rev:pres:p:1:imperf 
Далі	               adv 
стосовно	           adv 
не	                   part 
отриманої	           adjp:pasv:past:f:v_rod 
знижки	               noun:f:v_rod noun:p:v_zna 
це	                   adj:n:v_naz:&pron:dem 
неправда	           noun:f:v_naz 
у	                   prep:rv_mis
неділю	               noun:f:v_zna 
20.09.11 
знижку	               noun:f:v_zna 
отримали	           verb:past:p:perf 
всі	                   adj:p:v_zna:&pron:dem 
клієнти	               noun:p:v_naz:anim 
без	                   prep:rv_rod 
виключення	           noun:n:v_zna 
і	                   conj:coord 
на	                   prep:rv_mis 
це	                   adj:n:v_zna:&pron:dem 
були	               verb:past:p:imperf 
свої	               adj:p:v_zna:&pron:pos 
причини	               noun:p:v_zna 
котрі	               adj:p:v_zna:&pron:int 
поясню	               verb:futr:s:1:perf 
